Codi Municipi Edats Homes Dones Total
170010 Agullana 10 2 5 7
170010 Agullana 11 2 7 9
170010 Agullana 12 1 5 6
170010 Agullana 13 1 5 6
170010 Agullana 14 3 5 8
170010 Agullana 15 3 3 6
170010 Agullana 16 3 1 4
170010 Agullana 17 5 5 10
170010 Agullana 18 1 4 5
170010 Agullana 19 2 5 7
170010 Agullana 20 2 4 6
170010 Agullana 21 2 2 4
170010 Agullana 22 7 6 13
170010 Agullana 23 4 2 6
170010 Agullana 24 4 6 10
170010 Agullana 25 6 5 11
170010 Agullana 26 4 3 7
170010 Agullana 27 6 2 8
170010 Agullana 28 3 6 9
170010 Agullana 29 2 1 3
170010 Agullana 30 7 4 11
170010 Agullana 31 5 7 12
170010 Agullana 32 6 7 13
170010 Agullana 33 3 9 12
170010 Agullana 34 6 5 11
170010 Agullana 35 8 4 12
170010 Agullana 36 8 7 15
170010 Agullana 37 9 3 12
170010 Agullana 38 7 6 13
170010 Agullana 39 10 3 13
170010 Agullana 40 6 5 11
170010 Agullana 41 4 5 9
170010 Agullana 42 7 6 13
170010 Agullana 43 0 7 7
170010 Agullana 44 10 9 19
170010 Agullana 45 9 4 13
170010 Agullana 46 6 6 12
170010 Agullana 47 8 9 17
170010 Agullana 48 8 5 13
170010 Agullana 49 7 5 12
170010 Agullana 50 9 4 13
170010 Agullana 51 3 9 12
170010 Agullana 52 7 6 13
170010 Agullana 53 10 4 14
170010 Agullana 54 4 10 14
170010 Agullana 55 3 4 7
170010 Agullana 56 9 4 13
170010 Agullana 57 7 4 11
170010 Agullana 58 1 4 5
170010 Agullana 59 3 5 8
170010 Agullana 60 5 3 8
170010 Agullana 61 6 7 13
170010 Agullana 62 3 5 8
170010 Agullana 63 5 7 12
170010 Agullana 64 10 3 13
170010 Agullana 65 3 4 7
170010 Agullana 66 3 5 8
170010 Agullana 67 3 5 8
170010 Agullana 68 6 3 9
170010 Agullana 69 8 3 11
170010 Agullana 70 7 4 11
170010 Agullana 71 1 0 1
170010 Agullana 72 2 3 5
170010 Agullana 73 2 5 7
170010 Agullana 74 4 5 9
170010 Agullana 75 0 3 3
170010 Agullana 76 7 5 12
170010 Agullana 77 2 1 3
170010 Agullana 78 4 2 6
170010 Agullana 79 2 3 5
170010 Agullana 80 3 2 5
170010 Agullana 81 2 5 7
170010 Agullana 82 2 3 5
170010 Agullana 83 3 3 6
170010 Agullana 84 3 5 8
170010 Agullana 85 3 8 11
170010 Agullana 86 2 1 3
170010 Agullana 87 2 3 5
170010 Agullana 88 2 2 4
170010 Agullana 89 4 3 7
170010 Agullana 90 2 1 3
170010 Agullana 91 1 2 3
170010 Agullana 92 1 0 1
170010 Agullana 93 1 2 3
170010 Agullana 94 1 0 1
170010 Agullana 95 0 0 0
170010 Agullana 96 0 1 1
170010 Agullana 97 0 0 0
170010 Agullana 98 0 0 0
170010 Agullana 99 0 1 1
170010 Agullana 100 1 0 1
80142 Aiguafreda 0 10 5 15
80142 Aiguafreda 1 6 10 16
80142 Aiguafreda 2 14 17 31
80142 Aiguafreda 3 6 15 21
80142 Aiguafreda 4 17 13 30
80142 Aiguafreda 5 12 8 20
80142 Aiguafreda 6 15 14 29
80142 Aiguafreda 7 13 15 28
80142 Aiguafreda 8 16 12 28
80142 Aiguafreda 9 2 12 14
80142 Aiguafreda 10 8 14 22
80142 Aiguafreda 11 15 10 25
80142 Aiguafreda 12 11 11 22
80142 Aiguafreda 13 15 17 32
80142 Aiguafreda 14 8 10 18
80142 Aiguafreda 15 11 7 18
80142 Aiguafreda 16 12 14 26
80142 Aiguafreda 17 14 18 32
80142 Aiguafreda 18 9 8 17
80142 Aiguafreda 19 7 12 19
80142 Aiguafreda 20 11 12 23
